idnum|car|mpg|cylinders|displacement|horsepower|weight|acceleration|origin|dt
406|Cadillac Eldorado|23.00|8|350.00|125.00|3900.00|17.40|US|1979-07-14
407|Peugeot 504|27.20|4|141.00|71.00|3190.00|24.80|Europe|1979-09-19
408|Oldsmobile Cutlass Salon Brougham|23.90|8|260.00|90.00|3420.00|22.20|US|1979-03-04
409|Plymouth Horizon|34.20|4|105.00|70.00|2200.00|13.20|US|1979-10-18
410|Plymouth Horizon TC3|34.50|4|105.00|70.00|2150.00|14.90|US|1979-03-04
411|Datsun 210|31.80|4|85.00|65.00|2020.00|19.20|Japan|1979-06-02
412|Fiat Strada Custom|37.30|4|91.00|69.00|2130.00|14.70|Europe|1979-01-29
413|Buick Skylark Limited|28.40|4|151.00|90.00|2670.00|16.00|US|1979-03-29
414|Chevrolet Citation|28.80|6|173.00|115.00|2595.00|11.30|US|1979-04-16
415|Oldsmobile Omega Brougham|26.80|6|173.00|115.00|2700.00|12.90|US|1979-03-01
416|Pontiac Phoenix|33.50|4|151.00|90.00|2556.00|13.20|US|1979-01-20
417|Volkswagen Rabbit|41.50|4|98.00|76.00|2144.00|14.70|Europe|1980-10-26
418|Toyota Corolla Tercel|38.10|4|89.00|60.00|1968.00|18.80|Japan|1980-04-04
419|Chevrolet Chevette|32.10|4|98.00|70.00|2120.00|15.50|US|1980-05-02
420|Datsun 310|37.20|4|86.00|65.00|2019.00|16.40|Japan|1980-05-27
421|Chevrolet Citation|28.00|4|151.00|90.00|2678.00|16.50|US|1980-04-11
422|Ford Fairmont|26.40|4|140.00|88.00|2870.00|18.10|US|1980-08-17
423|AMC Concord|24.30|4|151.00|90.00|3003.00|20.10|US|1980-07-03
424|Dodge Aspen|19.10|6|225.00|90.00|3381.00|18.70|US|1980-07-09
425|Audi 4000|34.30|4|97.00|78.00|2188.00|15.80|Europe|1980-04-27
426|Toyota Corolla Liftback|29.80|4|134.00|90.00|2711.00|15.50|Japan|1980-08-05
427|Mazda 626|31.30|4|120.00|75.00|2542.00|17.50|Japan|1980-11-04
428|Datsun 510 Hatchback|37.00|4|119.00|92.00|2434.00|15.00|Japan|1980-01-12
429|Toyota Corolla|32.20|4|108.00|75.00|2265.00|15.20|Japan|1980-06-18
430|Mazda GLC|46.60|4|86.00|65.00|2110.00|17.90|Japan|1980-02-01
431|Dodge Colt|27.90|4|156.00|105.00|2800.00|14.40|US|1980-03-10
432|Datsun 210|40.80|4|85.00|65.00|2110.00|19.20|Japan|1980-06-09
433|Volkswagen Rabbit C (Diesel)|44.30|4|90.00|48.00|2085.00|21.70|Europe|1980-08-03
434|Volkswagen Dasher (diesel)|43.40|4|90.00|48.00|2335.00|23.70|Europe|1980-05-03
435|Audi 5000s (diesel)|36.40|5|121.00|67.00|2950.00|19.90|Europe|1980-05-06
436|Mercedes-Benz 240d|30.00|4|146.00|67.00|3250.00|21.80|Europe|1980-10-20
437|Honda Civic 1500 gl|44.60|4|91.00|67.00|1850.00|13.80|Japan|1980-05-05
438|Renault Lecar Deluxe|40.90|4|85.00|0.00|1835.00|17.30|Europe|1980-06-20
439|Subaru DL|33.80|4|97.00|67.00|2145.00|18.00|Japan|1980-09-17
440|Volkswagen Rabbit|29.80|4|89.00|62.00|1845.00|15.30|Europe|1980-01-24
441|Datsun 280-ZX|32.70|6|168.00|132.00|2910.00|11.40|Japan|1980-02-12
442|Mazda RX-7 GS|23.70|3|70.00|100.00|2420.00|12.50|Japan|1980-07-03
443|Triumph TR7 Coupe|35.00|4|122.00|88.00|2500.00|15.10|Europe|1980-04-04
444|Ford Mustang Cobra|23.60|4|140.00|0.00|2905.00|14.30|US|1980-05-05
445|Honda Accord|32.40|4|107.00|72.00|2290.00|17.00|Japan|1980-06-09
446|Plymouth Reliant|27.20|4|135.00|84.00|2490.00|15.70|US|1981-03-08
447|Buick Skylark|26.60|4|151.00|84.00|2635.00|16.40|US|1981-08-12
448|Dodge Aries Wagon (sw)|25.80|4|156.00|92.00|2620.00|14.40|US|1981-05-06
449|Chevrolet Citation|23.50|6|173.00|110.00|2725.00|12.60|US|1981-08-08
450|Plymouth Reliant|30.00|4|135.00|84.00|2385.00|12.90|US|1981-05-05
451|Toyota Starlet|39.10|4|79.00|58.00|1755.00|16.90|Japan|1981-09-22
452|Plymouth Champ|39.00|4|86.00|64.00|1875.00|16.40|US|1981-07-23
453|Honda Civic 1300|35.10|4|81.00|60.00|1760.00|16.10|Japan|1981-10-26
454|Subaru|32.30|4|97.00|67.00|2065.00|17.80|Japan|1981-10-13
455|Datsun 210 MPG|37.00|4|85.00|65.00|1975.00|19.40|Japan|1981-10-30
456|Toyota Tercel|37.70|4|89.00|62.00|2050.00|17.30|Japan|1981-02-24
457|Mazda GLC 4|34.10|4|91.00|68.00|1985.00|16.00|Japan|1981-04-10
458|Plymouth Horizon 4|34.70|4|105.00|63.00|2215.00|14.90|US|1981-06-20
459|Ford Escort 4W|34.40|4|98.00|65.00|2045.00|16.20|US|1981-04-18
460|Ford Escort 2H|29.90|4|98.00|65.00|2380.00|20.70|US|1981-04-02
461|Volkswagen Jetta|33.00|4|105.00|74.00|2190.00|14.20|Europe|1981-09-02
462|Renault 18i|34.50|4|100.00|0.00|2320.00|15.80|Europe|1981-07-09
463|Honda Prelude|33.70|4|107.00|75.00|2210.00|14.40|Japan|1981-09-28
464|Toyota Corolla|32.40|4|108.00|75.00|2350.00|16.80|Japan|1981-02-28
465|Datsun 200SX|32.90|4|119.00|100.00|2615.00|14.80|Japan|1981-06-11
466|Mazda 626|31.60|4|120.00|74.00|2635.00|18.30|Japan|1981-05-13
467|Peugeot 505s Turbo Diesel|28.10|4|141.00|80.00|3230.00|20.40|Europe|1981-06-02
468|Saab 900s|0.00|4|121.00|110.00|2800.00|15.40|Europe|1981-07-08
469|Volvo Diesel|30.70|6|145.00|76.00|3160.00|19.60|Europe|1981-08-13
470|Toyota Cressida|25.40|6|168.00|116.00|2900.00|12.60|Japan|1981-07-12
471|Datsun 810 Maxima|24.20|6|146.00|120.00|2930.00|13.80|Japan|1981-05-01
472|Buick Century|22.40|6|231.00|110.00|3415.00|15.80|US|1981-01-19
473|Oldsmobile Cutlass LS|26.60|8|350.00|105.00|3725.00|19.00|US|1981-09-19
474|Ford Grenada gl|20.20|6|200.00|88.00|3060.00|17.10|US|1981-07-20
475|Chrysler Lebaron Salon|17.60|6|225.00|85.00|3465.00|16.60|US|1981-09-20
476|Chevrolet Cavalier|28.00|4|112.00|88.00|2605.00|19.60|US|1982-04-08
477|Chevrolet Cavalier Wagon|27.00|4|112.00|88.00|2640.00|18.60|US|1982-02-16
478|Chevrolet Cavalier 2-door|34.00|4|112.00|88.00|2395.00|18.00|US|1982-10-15
479|Pontiac J2000 SE Hatchback|31.00|4|112.00|85.00|2575.00|16.20|US|1982-02-23
480|Dodge Aries SE|29.00|4|135.00|84.00|2525.00|16.00|US|1982-07-27
481|Pontiac Phoenix|27.00|4|151.00|90.00|2735.00|18.00|US|1982-10-30
482|Ford Fairmont Futura|24.00|4|140.00|92.00|2865.00|16.40|US|1982-09-13
483|AMC Concord DL|23.00|4|151.00|0.00|3035.00|20.50|US|1982-07-02
484|Volkswagen Rabbit l|36.00|4|105.00|74.00|1980.00|15.30|Europe|1982-03-05
485|Mazda GLC Custom l|37.00|4|91.00|68.00|2025.00|18.20|Japan|1982-10-25
486|Mazda GLC Custom|31.00|4|91.00|68.00|1970.00|17.60|Japan|1982-10-26
487|Plymouth Horizon Miser|38.00|4|105.00|63.00|2125.00|14.70|US|1982-08-09
488|Mercury Lynx l|36.00|4|98.00|70.00|2125.00|17.30|US|1982-08-26
489|Nissan Stanza XE|36.00|4|120.00|88.00|2160.00|14.50|Japan|1982-01-28
490|Honda Accord|36.00|4|107.00|75.00|2205.00|14.50|Japan|1982-02-17
491|Toyota Corolla|34.00|4|108.00|70.00|2245.00|16.90|Japan|1982-10-12
492|Honda Civic|38.00|4|91.00|67.00|1965.00|15.00|Japan|1982-02-24
493|Honda Civic (auto)|32.00|4|91.00|67.00|1965.00|15.70|Japan|1982-05-12
494|Datsun 310 GX|38.00|4|91.00|67.00|1995.00|16.20|Japan|1982-04-20
495|Buick Century Limited|25.00|6|181.00|110.00|2945.00|16.40|US|1982-10-13
496|Oldsmobile Cutlass Ciera (diesel)|38.00|6|262.00|85.00|3015.00|17.00|US|1982-07-02
497|Chrysler Lebaron Medallion|26.00|4|156.00|92.00|2585.00|14.50|US|1982-10-01
498|Ford Grenada l|22.00|6|232.00|112.00|2835.00|14.70|US|1982-05-19
499|Toyota Celica GT|32.00|4|144.00|96.00|2665.00|13.90|Japan|1982-01-31
500|Dodge Charger 2.2|36.00|4|135.00|84.00|2370.00|13.00|US|1982-10-01
501|Chevrolet Camaro|27.00|4|151.00|90.00|2950.00|17.30|US|1982-06-16
502|Ford Mustang GL|27.00|4|140.00|86.00|2790.00|15.60|US|1982-03-04
503|Volkswagen Pickup|44.00|4|97.00|52.00|2130.00|24.60|Europe|1982-02-07
504|Dodge Rampage|32.00|4|135.00|84.00|2295.00|11.60|US|1982-10-31
505|Ford Ranger|28.00|4|120.00|79.00|2625.00|18.60|US|1982-06-21
506|Chevy S-10|31.00|4|119.00|82.00|2720.00|19.40|US|1982-04-18
